task,trial,val_pr_auc,val_roc_auc,val_best_f1,val_best_threshold,best_iteration,max_depth,min_child_weight,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
cancel,91,0.1348561431247935,0.7607262405621622,0.19239615331182564,0.73,16,4,10.0,0.1,0.6,0.9,0.0,0.1,0.5
cancel,59,0.1339660754289357,0.7631490351824276,0.19695223735932368,0.77,309,4,10.0,0.01,0.8,0.6,2.0,0.1,10.0
cancel,28,0.13315661638922763,0.7620204565722528,0.1966907907126907,0.77,101,4,1.0,0.03,1.0,0.6,0.3,0.1,1.0
cancel,42,0.13248348535984686,0.7625885801515359,0.19878889120902068,0.8099999999999999,133,4,5.0,0.05,0.7,0.7,1.0,0.01,10.0
cancel,27,0.13226587633838527,0.7539812088407113,0.19371146136879558,0.6,20,5,8.0,0.02,0.9,0.9,0.3,0.1,1.0
cancel,58,0.13205508403202917,0.7557564007352567,0.1922190650631402,0.65,6,5,5.0,0.1,0.6,0.9,0.0,0.1,2.0
cancel,97,0.13201811423239604,0.7614992491565896,0.19669985187226566,0.76,48,4,3.0,0.05,1.0,0.6,1.0,1.0,10.0
cancel,2,0.13176729678514304,0.7604936158671227,0.19654393726883315,0.7,22,5,1.0,0.05,1.0,0.9,1.0,0.1,5.0
cancel,47,0.13145182396946328,0.7600799076274375,0.19357386825094847,0.72,46,4,8.0,0.03,0.9,0.8,0.3,1.0,0.5
cancel,95,0.1314136870507106,0.75966711996394,0.1939287304405667,0.71,25,4,10.0,0.05,0.8,0.9,0.3,0.0,5.0
cancel,40,0.13133918496800878,0.760381951973577,0.19535702849823888,0.72,74,4,2.0,0.02,0.9,0.9,1.0,1.0,5.0
cancel,89,0.13122035490550668,0.7616868142904965,0.1953154802777142,0.75,210,4,5.0,0.01,0.8,0.8,0.3,0.1,2.0
cancel,1,0.13118110150201134,0.7618707463082235,0.19524573524115124,0.75,40,4,8.0,0.05,0.8,0.8,2.0,0.0,5.0
cancel,6,0.1309170835907545,0.7629366892255931,0.1953497851526011,0.79,39,5,8.0,0.08,0.7,0.6,2.0,0.01,10.0
cancel,31,0.13081873131864633,0.7595445033779964,0.19512954866557644,0.72,141,4,5.0,0.01,0.9,0.9,0.0,0.1,2.0
cancel,63,0.13081289032841434,0.7612119996088873,0.19383217375911255,0.75,21,4,3.0,0.1,0.8,0.6,0.5,1.0,10.0
cancel,75,0.13078982220109595,0.7637390217901857,0.19892491294499476,0.77,117,5,10.0,0.02,1.0,0.8,1.0,0.1,5.0
cancel,30,0.13038518078712977,0.7598658499292595,0.19438757703146894,0.71,44,4,8.0,0.03,0.9,0.9,0.3,0.001,5.0
cancel,78,0.1301040402282636,0.7634242253766137,0.1990000223708642,0.77,238,5,2.0,0.01,0.6,0.8,0.3,0.0,2.0
cancel,96,0.12984722952789263,0.7657483104140959,0.19630739029632263,0.78,26,5,5.0,0.1,1.0,0.7,1.0,0.1,2.0
cancel,64,0.1295431145726887,0.7643871574779317,0.19759793032599518,0.76,46,5,3.0,0.05,0.7,0.7,0.1,1.0,5.0
cancel,5,0.1294229021936524,0.7628988147997153,0.19250834930735333,0.82,93,4,5.0,0.1,0.6,1.0,1.0,0.001,5.0
cancel,35,0.1292628742542769,0.7634959602503687,0.19874405612299295,0.77,87,5,10.0,0.03,0.8,0.8,1.0,0.0,0.5
cancel,13,0.12895410341573477,0.7566132814911029,0.1945680690834546,0.66,14,5,8.0,0.05,0.6,1.0,0.1,1.0,0.5
cancel,26,0.12876644347505023,0.7646407640874072,0.1925211802512416,0.77,88,6,10.0,0.03,0.9,0.8,0.1,0.1,10.0
cancel,49,0.12844715842878657,0.7596256116097123,0.1942272262026612,0.7,123,4,1.0,0.01,1.0,1.0,0.0,0.1,0.5
cancel,36,0.12725884514298247,0.7638346110714855,0.19525327431582076,0.76,26,5,3.0,0.08,0.8,0.8,2.0,0.0,2.0
cancel,66,0.1265727228859428,0.7647734018463368,0.19319264945526848,0.77,146,6,1.0,0.02,1.0,0.7,0.1,1.0,0.5
cancel,61,0.12639362196062456,0.7643084550577552,0.19255805504253837,0.76,126,6,8.0,0.02,0.9,0.8,0.1,0.001,2.0
cancel,9,0.12633207325417484,0.7642675247017439,0.18936700776271362,0.78,39,6,2.0,0.1,0.7,0.6,0.3,0.1,0.5
cancel,80,0.1260285070025279,0.7643719640937774,0.18673407653020546,0.76,146,7,3.0,0.02,0.9,0.7,0.1,0.1,10.0
cancel,50,0.12585733952123473,0.7631676832858383,0.1891341875903496,0.77,45,6,5.0,0.08,1.0,0.6,0.1,0.001,1.0
cancel,39,0.12560667132868822,0.764484771732197,0.18453420799315484,0.78,168,7,1.0,0.02,0.8,0.7,0.0,0.1,5.0
cancel,3,0.1251849510083789,0.7626911485530384,0.18489156784380528,0.77,26,7,1.0,0.1,0.8,0.8,0.3,0.0,10.0
cancel,99,0.12475425568253298,0.7641308466927947,0.18415064855533442,0.78,301,7,5.0,0.01,0.9,0.8,0.0,0.0,2.0
cancel,15,0.12474952497774494,0.7606876474932331,0.18229038464436598,0.5700000000000001,5,7,3.0,0.05,0.8,0.6,0.0,0.001,0.5
cancel,22,0.12469401564160863,0.7583087780938317,0.19294697955366052,0.62,54,6,1.0,0.01,0.6,0.9,1.0,0.1,2.0
cancel,45,0.12455776584373936,0.7638157314917209,0.1883463374133938,0.77,32,6,3.0,0.1,1.0,0.6,2.0,0.0,5.0
cancel,54,0.12455776584373936,0.7638157314917209,0.1883463374133938,0.77,32,6,2.0,0.1,1.0,0.6,1.0,0.0,5.0
cancel,24,0.12378640305797273,0.7632339614914379,0.18751161051543544,0.7,146,7,3.0,0.01,0.7,0.7,0.1,0.1,5.0
cancel,10,0.12369099476394786,0.7636923736839729,0.18074184148059516,0.78,44,7,1.0,0.08,0.8,0.7,0.1,0.01,5.0
cancel,98,0.12366634065076967,0.7643133323823117,0.19576022015046404,0.74,83,6,1.0,0.02,1.0,1.0,0.5,0.0,0.5
cancel,72,0.12341290265462551,0.7588120451342433,0.18321645085121122,0.63,5,8,5.0,0.1,0.8,0.7,0.0,0.0,1.0
cancel,60,0.12303121539649421,0.7632296722532912,0.18610116628961762,0.76,37,7,3.0,0.05,0.9,1.0,0.0,0.1,0.5
cancel,74,0.1228250267925182,0.7494712768851195,0.18822820053556544,0.59,3,6,10.0,0.08,0.6,1.0,2.0,1.0,10.0
cancel,16,0.12277129319708112,0.7629808958349249,0.18755164524433873,0.74,35,7,8.0,0.05,0.8,1.0,0.5,0.0,5.0
cancel,33,0.12260765660786016,0.7626975441772611,0.1800021557144397,0.77,126,8,1.0,0.02,0.8,0.9,0.1,0.001,10.0
cancel,79,0.12151636590641862,0.7618718834540369,0.17927920050611296,0.77,88,8,2.0,0.03,0.7,0.8,0.3,0.1,1.0
cancel,81,0.12138786747607017,0.7631736698482267,0.1762224408873474,0.76,22,8,10.0,0.1,0.8,0.9,0.1,0.01,2.0
cancel,85,0.12119071431572769,0.763111243925487,0.17867413592191492,0.77,48,8,1.0,0.05,0.9,0.8,0.0,0.01,10.0
cancel,7,0.12115741692793397,0.7575022616595769,0.1787030181612299,0.6,5,8,8.0,0.08,0.6,0.7,0.3,0.01,0.5
cancel,68,0.12114174686888282,0.7607736913833394,0.18725174957442783,0.71,23,7,1.0,0.05,0.6,0.9,0.0,0.0,0.5
cancel,8,0.12109677488458744,0.7630140226167907,0.18453596836353756,0.74,20,7,1.0,0.08,0.9,1.0,1.0,0.001,10.0
cancel,37,0.12097412085289207,0.7604509953540128,0.18749761986366578,0.71,15,7,3.0,0.08,0.7,1.0,0.1,0.01,2.0
cancel,25,0.12089545432135425,0.7596711988784671,0.18275139009149044,0.63,5,8,3.0,0.1,0.6,0.7,0.0,0.001,10.0
cancel,71,0.12089367550640108,0.7631066981274377,0.18530249586079944,0.74,55,7,1.0,0.03,0.6,1.0,0.1,0.001,1.0
cancel,57,0.12075195522374246,0.7574993860652582,0.18414850621283083,0.63,5,7,2.0,0.1,1.0,0.8,0.0,0.01,2.0
cancel,17,0.12066119903298236,0.7584226855596663,0.18376577496531699,0.5700000000000001,5,8,5.0,0.05,0.8,0.6,0.5,0.1,1.0
cancel,41,0.12065644730903868,0.7502565124829039,0.18814283806046575,0.5700000000000001,4,6,1.0,0.05,1.0,1.0,0.1,0.001,0.5
cancel,84,0.12058868912247497,0.761459104042997,0.17837748394181446,0.76,40,8,8.0,0.05,1.0,1.0,0.0,1.0,5.0
cancel,92,0.12032960159097392,0.7624146705693631,0.1839856098261897,0.76,23,7,5.0,0.08,0.8,1.0,1.0,0.001,5.0
cancel,87,0.12013350558865926,0.7605955602927421,0.18572707619068415,0.74,14,7,8.0,0.1,0.9,1.0,2.0,0.0,1.0
cancel,18,0.12003944238657772,0.761721300080707,0.18089472552852193,0.76,70,8,1.0,0.03,0.8,1.0,0.1,0.001,2.0
cancel,76,0.11894629746878542,0.7603734597347405,0.1805024886645518,0.73,16,8,8.0,0.08,0.6,1.0,0.5,0.001,2.0
cancel,86,0.11797129403641529,0.7569070990914485,0.17776703509195982,0.63,5,9,1.0,0.1,1.0,0.6,1.0,0.01,2.0
cancel,88,0.117846944421982,0.7607826233597614,0.17767260307392047,0.69,122,9,5.0,0.01,0.6,0.8,0.5,0.0,0.5
cancel,94,0.11779884939934679,0.755511978599078,0.17751558050760843,0.56,4,9,3.0,0.05,0.7,0.7,0.0,1.0,0.5
cancel,55,0.11752120295333385,0.7614342018617218,0.1759413280401832,0.69,41,9,1.0,0.03,0.6,0.8,2.0,0.0,1.0
cancel,29,0.11725653444261723,0.7587485413700596,0.17612761652485423,0.67,11,9,2.0,0.08,0.8,0.8,0.1,0.01,10.0
cancel,65,0.11697369950619353,0.7559624528840185,0.1734337278206405,0.67,8,9,8.0,0.1,0.6,1.0,0.0,0.01,2.0
cancel,4,0.11688898639330722,0.7598809357851972,0.1712312614300271,0.74,76,9,5.0,0.03,1.0,0.8,0.3,0.01,1.0
