task,trial,val_pr_auc,val_roc_auc,val_best_f1,val_best_threshold,best_iteration,max_depth,min_child_weight,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
delay_non_cancelled,32,0.3639696788918885,0.7078398594505395,0.401399833586217,0.53,93,9,1.0,0.03,0.7,0.7,2.0,0.01,1.0
delay_non_cancelled,61,0.36384231135496786,0.7081413772775708,0.401666173047274,0.53,271,10,2.0,0.01,0.6,0.9,0.5,0.1,1.0
delay_non_cancelled,87,0.36378405146469783,0.7090997657459898,0.402020192341912,0.53,229,9,2.0,0.02,0.7,0.6,0.1,1.0,5.0
delay_non_cancelled,45,0.36369040125691315,0.7077027211687648,0.40114778295710324,0.53,29,10,8.0,0.08,1.0,0.8,0.3,0.0,1.0
delay_non_cancelled,62,0.36367984647378,0.7084294169253247,0.40188181164472064,0.53,342,9,3.0,0.01,1.0,0.8,0.5,0.001,5.0
delay_non_cancelled,2,0.3635165761936775,0.7084682895107497,0.40139613420460163,0.53,67,10,5.0,0.05,0.6,0.8,1.0,0.001,10.0
delay_non_cancelled,66,0.36347193804079153,0.7082504534252878,0.40153345283959646,0.53,289,10,8.0,0.01,0.8,0.9,0.5,0.1,5.0
delay_non_cancelled,57,0.36345952875373705,0.7084662592410151,0.4017982988024887,0.54,211,8,3.0,0.02,1.0,0.6,0.3,1.0,1.0
delay_non_cancelled,80,0.36343213688324616,0.7084044692109829,0.4017412464028319,0.53,309,10,1.0,0.01,0.8,0.9,0.3,0.01,10.0
delay_non_cancelled,64,0.3634218970692823,0.7089686511593787,0.4021547896258024,0.53,198,9,2.0,0.02,0.6,0.8,0.5,0.01,5.0
delay_non_cancelled,53,0.3633980256141331,0.7088707083689799,0.40198234115873654,0.53,198,9,2.0,0.02,0.7,0.8,0.0,0.1,0.5
delay_non_cancelled,10,0.36327662396860666,0.7085388959678883,0.4018368631195209,0.53,264,7,10.0,0.02,0.8,0.6,0.5,0.01,2.0
delay_non_cancelled,44,0.36327540065599817,0.707642823450046,0.40133651413227317,0.53,268,9,5.0,0.01,0.9,0.9,2.0,0.1,0.5
delay_non_cancelled,26,0.36303917845004885,0.7081712985074609,0.40131820147039643,0.53,67,9,1.0,0.05,0.9,0.7,0.5,1.0,2.0
delay_non_cancelled,92,0.3630376312155797,0.707570412653818,0.4011344631989104,0.53,31,9,10.0,0.08,0.6,0.8,0.1,0.1,5.0
delay_non_cancelled,50,0.3630292434103512,0.7085235784361321,0.40183013625273556,0.53,136,9,5.0,0.03,0.6,0.6,0.1,0.1,10.0
delay_non_cancelled,38,0.36298116369869887,0.7090147788542238,0.4019226222195558,0.54,246,7,5.0,0.03,0.6,0.6,1.0,0.1,0.5
