model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_1to1_focal,B_original,macro_f1,0.0,0.06,0.18,0.6957,0.4445,0.4445,0.8002,0.4038,0.1185,0.108,0.366,0.05267325
A_1to1_focal,B_original,cost_sensitive,0.0,0.04,0.16,0.6826,0.4438,0.2359,0.7775,0.4187,0.1491,0.108,0.366,0.06617058
A_1to1_focal,B_original,macro_f1,0.25,0.02,0.17,0.611,0.4054,0.4054,0.7005,0.3233,0.3795,0.108,0.366,0.1538493
A_1to1_focal,B_original,cost_sensitive,0.25,0.02,0.15,0.593,0.4038,0.2018,0.6638,0.3696,0.3795,0.108,0.366,0.1532421
A_1to1_focal,B_original,macro_f1,0.3,0.02,0.17,0.611,0.4054,0.4054,0.7005,0.3233,0.3795,0.108,0.366,0.1538493
A_1to1_focal,B_original,cost_sensitive,0.3,0.02,0.15,0.593,0.4038,0.2018,0.6638,0.3696,0.3795,0.108,0.366,0.1532421
A_1to1_focal,B_original,macro_f1,0.35,0.02,0.17,0.611,0.4054,0.4054,0.7005,0.3233,0.3795,0.108,0.366,0.1538493
A_1to1_focal,B_original,cost_sensitive,0.35,0.02,0.15,0.593,0.4038,0.2018,0.6638,0.3696,0.3795,0.108,0.366,0.1532421
A_1to1_focal,B_original,macro_f1,0.4,0.01,0.11,0.1127,0.107,0.107,0.0979,0.0477,0.9379,0.108,0.366,0.1003553
A_1to1_focal,B_original,cost_sensitive,0.4,0.01,0.1,0.1078,0.1064,0.075,0.089,0.0567,0.9379,0.108,0.366,0.09979255999999999
A_1to1_focal,B_original,macro_f1,0.5,0.01,0.11,0.1127,0.107,0.107,0.0979,0.0477,0.9379,0.108,0.366,0.1003553
A_1to1_focal,B_original,cost_sensitive,0.5,0.01,0.1,0.1078,0.1064,0.075,0.089,0.0567,0.9379,0.108,0.366,0.09979255999999999
A_1to1_focal,B_2to1,macro_f1,0.0,0.06,0.17,0.6879,0.4433,0.4433,0.7847,0.4223,0.1185,0.108,0.3649,0.05253105
A_1to1_focal,B_2to1,cost_sensitive,0.0,0.04,0.16,0.6641,0.4405,0.2357,0.7412,0.4617,0.1491,0.108,0.3649,0.06567855
A_1to1_focal,B_2to1,macro_f1,0.25,0.02,0.17,0.6105,0.4048,0.4048,0.7003,0.3217,0.3795,0.108,0.3649,0.1536216
A_1to1_focal,B_2to1,cost_sensitive,0.25,0.02,0.16,0.5947,0.4036,0.2016,0.6678,0.3632,0.3795,0.108,0.3649,0.1531662
A_1to1_focal,B_2to1,macro_f1,0.3,0.02,0.17,0.6105,0.4048,0.4048,0.7003,0.3217,0.3795,0.108,0.3649,0.1536216
A_1to1_focal,B_2to1,cost_sensitive,0.3,0.02,0.16,0.5947,0.4036,0.2016,0.6678,0.3632,0.3795,0.108,0.3649,0.1531662
A_1to1_focal,B_2to1,macro_f1,0.35,0.02,0.17,0.6105,0.4048,0.4048,0.7003,0.3217,0.3795,0.108,0.3649,0.1536216
A_1to1_focal,B_2to1,cost_sensitive,0.35,0.02,0.16,0.5947,0.4036,0.2016,0.6678,0.3632,0.3795,0.108,0.3649,0.1531662
A_1to1_focal,B_2to1,macro_f1,0.4,0.01,0.12,0.1145,0.1071,0.1071,0.1014,0.044,0.9379,0.108,0.3649,0.10044908999999999
A_1to1_focal,B_2to1,cost_sensitive,0.4,0.01,0.1,0.1088,0.1067,0.0749,0.0908,0.0552,0.9379,0.108,0.3649,0.10007392999999999
A_1to1_focal,B_2to1,macro_f1,0.5,0.01,0.12,0.1145,0.1071,0.1071,0.1014,0.044,0.9379,0.108,0.3649,0.10044908999999999
A_1to1_focal,B_2to1,cost_sensitive,0.5,0.01,0.1,0.1088,0.1067,0.0749,0.0908,0.0552,0.9379,0.108,0.3649,0.10007392999999999
A_1to1_focal,B_1to1,macro_f1,0.0,0.06,0.17,0.7032,0.443,0.443,0.8187,0.3731,0.1185,0.108,0.3629,0.0524955
